Student_Name,Course_Count
Jack Black,22
Jack Blue,33
Jack Brown,36
Jack Cyan,26
Jack Davis,27
Jack Gray,32
Jack Green,22
Jack Indigo,35
Jack Johnson,26
Jack Magenta,27
Jack Orange,20
Jack Pink,21
Jack Purple,25
Jack Red,19
Jack Teal,25
Jack Violet,19
Jack White,23
Jack Yellow,19
Kelly Azure,25
Kelly Beige,20
Kelly Black,25
Kelly Blue,29
Kelly Brown,23
Kelly Cyan,24
Kelly Davis,24
Kelly Gray,28
Kelly Green,26
Kelly Indigo,27
Kelly Johnson,28
Kelly Magenta,29
Kelly Orange,26
Kelly Pink,27
Kelly Purple,33
Kelly Red,32
Kelly Teal,30
Kelly Violet,27
Kelly White,23
Kelly Yellow,26
Liam Azure,27
Liam Beige,22
Liam Black,25
Liam Blue,27
Liam Brown,20
Liam Cyan,31
Liam Davis,32
Liam Gray,26
Liam Green,22
Liam Indigo,23
Liam Johnson,21
Liam Magenta,21
Liam Orange,32
Liam Pink,26
Liam Purple,19
Liam Red,22
Liam Teal,17
Liam Violet,33
Liam White,25
Liam Yellow,20
Mona Azure,21
Mona Beige,17
Mona Black,29
Mona Blue,35
Mona Brown,31
Mona Cyan,23
Mona Davis,34
Mona Gray,29
Mona Green,20
Mona Indigo,22
Mona Johnson,32
Mona Magenta,27
Mona Orange,21
Mona Pink,17
Mona Purple,21
Mona Red,23
Mona Teal,22
Mona Violet,26
Mona White,24
Mona Yellow,26
Nick Azure,28
Nick Beige,28
Nick Black,17
Nick Blue,34
Nick Brown,17
Nick Cyan,31
Nick Davis,19
Nick Gray,21
Nick Green,26
Nick Indigo,23
Nick Johnson,26
Nick Magenta,23
Nick Orange,21
Nick Pink,35
Nick Purple,18
Nick Red,34
Nick Teal,28
Nick Violet,13
Nick White,32
Nick Yellow,25
Olivia Azure,31
Olivia Beige,28
Olivia Black,16
Olivia Blue,36
Olivia Brown,27
Olivia Cyan,20
Olivia Davis,40
Olivia Gray,18
Olivia Green,29
Olivia Indigo,22
Olivia Johnson,27
Olivia Magenta,29
Olivia Orange,26
Olivia Pink,35
Olivia Purple,25
Olivia Red,30
Olivia Teal,26
Olivia Violet,24
Olivia White,25
Olivia Yellow,25
Paul Azure,26
Paul Beige,23
Paul Black,23
Paul Blue,27
Paul Brown,31
Paul Cyan,23
Paul Davis,14
Paul Gray,19
Paul Green,28
Paul Indigo,28
Paul Johnson,28
Paul Magenta,33
Paul Orange,22
Paul Pink,26
Paul Purple,21
Paul Red,24
Paul Teal,29
Paul Violet,22
Paul White,16
Paul Yellow,27
Quincy Azure,22
Quincy Beige,22
Quincy Black,27
Quincy Blue,23
Quincy Brown,25
Quincy Cyan,19
Quincy Davis,17
Quincy Gray,28
Quincy Green,18
Quincy Indigo,29
Quincy Johnson,32
Quincy Magenta,26
Quincy Orange,25
Quincy Pink,24
Quincy Purple,27
Quincy Red,26
Quincy Teal,29
Quincy Violet,25
Quincy White,36
Quincy Yellow,22
Rita Azure,24
Rita Beige,25
Rita Black,23
Rita Blue,22
Rita Brown,20
Rita Cyan,26
Rita Davis,24
Rita Gray,29
Rita Green,20
Rita Indigo,31
Rita Johnson,34
Rita Magenta,22
Rita Orange,28
Rita Pink,25
Rita Purple,22
Rita Red,33
Rita Teal,28
Rita Violet,25
Rita White,24
Rita Yellow,23
Sam Azure,23
Sam Beige,22
Sam Black,28
Sam Blue,31
Sam Brown,31
Sam Cyan,24
Sam Davis,18
Sam Gray,24
Sam Green,13
Sam Indigo,23
Sam Johnson,31
Sam Magenta,17
Sam Orange,24
Sam Pink,27
Sam Purple,30
Sam Red,22
Sam Teal,22
Sam Violet,20
Sam White,31
Sam Yellow,28
Tina Azure,28
Tina Beige,26
Tina Black,17
Tina Blue,26
Tina Brown,28
Tina Cyan,28
Tina Davis,31
Tina Gray,16
Tina Green,21
Tina Indigo,25
Tina Johnson,26
Tina Magenta,26
Tina Orange,22
Tina Pink,21
Tina Purple,25
Tina Red,25
Tina Teal,33
Tina Violet,20
Tina White,28
Tina Yellow,21
